Start,End,Duration,Observer,BV,TV,UV,MK,OS,BE,NH,SS,CH,NG,UA,RS,BW,SW,RT,RL,UB,GE,UE,AK,ML,PG,UF,UR,TOTAL,WindSpd,WindDir,Temp,CloudCover,Visibility,FlightDIR,FlightHT,SkyCode,Counter,Observer1,Observer2,Observer3,Observer4,HawkYear
'2018-12-09 09:00','2018-12-09 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,?,-5,100,33,?,(none),'3: Overcast','Scott Morrison',?,?,?,?,2018
'2018-12-08 15:00','2018-12-08 16:00',30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,270,-2,90,33,?,?,'3: Overcast','David Barber',?,?,?,?,2018
'2018-12-08 14:00','2018-12-08 15:00',60,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,270,-2,100,33,225,'1: Eye level to 30m','3: Overcast','David Barber',?,?,?,?,2018
'2018-12-08 13:00','2018-12-08 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,8.5,270,-2,90,33,225,'0: Below eye level','3: Overcast','David Barber',?,?,?,?,2018
'2018-12-08 12:00','2018-12-08 13:00',60,60,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,8.5,270,-3,70,33,225,'7: Variable','2: Mostly Cloudy','David Barber',?,?,?,?,2018
'2018-12-08 11:00','2018-12-08 12:00',60,60,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,8.5,270,-4,50,33,225,'2: Unaided eye','1: Partly Cloudy','David Barber',?,?,?,?,2018
'2018-12-08 10:00','2018-12-08 11:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.5,270,-3,10,33,225,'0: Below eye level','0: Clear','David Barber',?,?,?,?,2018
'2018-12-08 09:00','2018-12-08 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,270,-6,100,33,?,?,'3: Overcast','David Barber',?,?,?,?,2018
'2018-12-08 08:00','2018-12-08 09:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,270,-7,100,33,?,?,'3: Overcast','David Barber',?,?,?,?,2018
'2018-12-07 15:00','2018-12-07 16:00',60,60,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,15.5,292.5,-2,50,77,225,'2: Unaided eye','1: Partly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 14:00','2018-12-07 15:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.5,292.5,-1,75,77,225,'2: Unaided eye','2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 13:00','2018-12-07 14:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,15.5,292.5,-1,75,77,225,'1: Eye level to 30m','2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 12:00','2018-12-07 13:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,15.5,292.5,-1,55,77,225,'2: Unaided eye','2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 11:00','2018-12-07 12:00',60,60,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,15.5,292.5,0,75,77,225,'1: Eye level to 30m','2: Mostly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 10:00','2018-12-07 11:00',60,60,3,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,15.5,292.5,1,40,77,225,'1: Eye level to 30m','1: Partly Cloudy','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 09:00','2018-12-07 10:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.5,292.5,-3,10,77,225,'2: Unaided eye','0: Clear','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 08:00','2018-12-07 09:00',60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,292.5,-4,10,77,?,?,'0: Clear','Jesse Amesbury',?,?,?,?,2018
'2018-12-07 07:45','2018-12-07 08:00',15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,292.5,-4,10,77,?,?,'0: Clear','Jesse Amesbury',?,?,?,?,2018
'2018-12-06 15:00','2018-12-06 16:00',45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,292.5,0,100,30,?,?,'3: Overcast','Jesse Amesbury',?,?,?,?,2018
